full_name,a,e,i,om,per_y,diameter,rot_per
"   588 Achilles (1906 TG)",5.201382140660148,.147900877099106,10.31573842120043,316.586204290422,11.8627764267506,135.47,7.306
"   617 Patroclus (1906 VY)",5.217303509721689,.1395136791355148,22.05087393638871,44.36600305005552,11.9172858137614,140.92,102.8
"   624 Hektor (1907 XM)",5.248501491633988,.02430461158972936,18.170700557618,342.8130114727676,12.0243383902128,225,6.924
"   659 Nestor (1908 CS)",5.187124673426839,.114788113025402,4.522008688175691,350.8668527615429,11.8140344233048,108.87,15.98
"   884 Priamus (1917 CQ)",5.181711002942702,.1217833991363601,8.913459637557912,301.5584596534081,11.7955442376256,,6.8605
"   911 Agamemnon (1919 FD)",5.270519391547057,.06685007732419895,21.7664543564652,338.0350404205766,12.1000823378603,166.66,6.592
"  1143 Odysseus (1930 BH)",5.248271039356815,.09052161308282332,3.13784727487467,221.2932632447175,12.0235464482414,125.64,10.111
"  1172 Aneas (1930 UA)",5.215852516662178,.1043673582407477,16.67041338293927,247.336747041891,11.9123146548151,142.82,8.705
"  1173 Anchises (1930 UB)",5.302963969308554,.1373626290815937,6.915149486903934,283.905995395045,12.2119837231047,126.27,11.60
"  1208 Troilus (1931 YA)",5.249647881677006,.09276861617994224,33.54748626661222,48.56088290124982,12.0282781817459,103.34,56.17
"  1404 Ajax (1936 QW)",5.304143903929656,.1129644107697109,18.00545893777927,332.9813312790723,12.2160597862208,81.69,29.38
"  1437 Diomedes (1937 PB)",5.187523549461323,.04537661802863752,20.49074296290901,315.8096936924735,11.8153971510458,164.31,24.49
"  1583 Antilochus (1950 SA)",5.123507315857826,.05268581891868384,28.53257073416692,221.3889520980974,11.5973627966406,101.62,31.52
"  1647 Menelaus (1957 MK)",5.220018618418559,.02348081446989202,5.646738400973515,240.350113121303,11.9265897393174,,
"  1749 Telamon (1949 SB)",5.148246141477567,.1081723497363082,6.094678422957076,340.9358142563418,11.681460808972,81.06,16.975
"  1867 Deiphobus (1971 EA)",5.128780220970246,.04347334692297152,26.91043422487163,283.703564759429,11.6152707025475,122.67,58.66
"  1868 Thersites (2008 P-L)",5.319846617545577,.1086097407159332,16.75380326838192,197.8406289932585,12.2703476773542,,10.416
"  1869 Philoctetes (4596 P-L)",5.240071038110657,.06409769605120966,3.969098835700969,44.04439093182564,11.9953787219157,,
"  1870 Glaukos (1971 FE)",5.250044121212544,.03218958745072768,6.575805644841757,176.296632627347,12.0296400357411,,
"  1871 Astyanax (1971 FF)",5.258363725622028,.03258186377210911,8.597408242312078,145.772040756858,12.0582459339291,,
"  1872 Helenos (1971 FG)",5.317356088552738,.04832119626573129,14.64189398481792,188.8001795305063,12.261731992954,,
"  1873 Agenor (1971 FH)",5.240765383083542,.09139441512351211,21.87189414159262,197.9055106320834,11.9977630045209,53.76,20.60
"  2146 Stentor (1976 UQ)",5.194784019547796,.1015162018491607,39.25950562912539,131.3279035952536,11.8402111146158,,35.14
"  2148 Epeios (1976 UW)",5.212260682441955,.05741972358975932,9.150694656104081,176.6019036667353,11.9000118647425,,
"  2207 Antenor (1977 QH1)",5.136927262128551,.01639090229243596,6.808036409826656,159.141380505766,11.6429578876996,85.11,7.965
"  2223 Sarpedon (1977 TL3)",5.228382974080809,.01579389827961132,15.9627824467016,220.909732912638,11.955267277818,94.63,22.741
"  2241 Alcathous (1979 WM)",5.191145079975112,.06611443907161028,16.61371101046681,267.9931371938488,11.827772214459,114.63,7.690
"  2260 Neoptolemus (1975 WM1)",5.193743752373973,.04394691693926141,17.77922865669522,86.57421073013768,11.836654749348,71.65,8.180
"  2357 Phereclos (1981 AC)",5.20890066510309,.04405084407434331,2.668882995507173,179.2516068751848,11.8885069331664,94.90,14.394
"  2363 Cebriones (1977 TJ3)",5.197838673630415,.03548754316016586,32.13692082915649,211.7632858471858,11.8506561298753,81.84,20.05
"  2456 Palamedes (1966 BA1)",5.129099874199211,.07436751352701657,13.90885319542593,327.4024626542863,11.6163566088867,91.66,7.24
"  2594 Acamas (1978 TB)",5.068372052533497,.08363845041041373,5.532858452128683,356.7033510334098,11.4106644274732,,
"  2674 Pandarus (1982 BC3)",5.182677454939866,.06703898185996869,1.854825091379819,179.7983231992466,11.7988444097544,98.10,8.480
"  2759 Idomeneus (1980 GC)",5.179599385849184,.06656243545411553,21.95486342554133,171.2387670694348,11.788334707289,61.01,32.4
"  2797 Teucer (1981 LK)",5.099940825656689,.08872576971873249,22.40275071418785,69.93392463977072,11.5174386563196,111.14,10.145
"  2893 Peiroos (1975 QD)",5.157683488478824,.07526004587343127,14.65411565119569,108.7729796563685,11.7135957833938,87.46,8.96
"  2895 Memnon (1981 AE1)",5.235342036503047,.0505638479485765,27.21869337175248,133.9779838539584,11.9791442001353,,7.502
"  2920 Automedon (1981 JR)",5.107597533264927,.02676909567658753,21.12372703635799,230.9522256200211,11.5433856488224,111.01,10.212
"  3063 Makhaon (1983 PV)",5.200947845793874,.05978557874043459,12.16617365933956,287.8780878730421,11.8612907152938,116.14,8.64
"  3240 Laocoon (1978 VG6)",5.24056186126468,.126661147813994,2.333249847235693,296.2834332392582,11.9970641229653,,11.312
"  3317 Paris (1984 KF)",5.223203953226955,.1265776365412322,27.86007760285963,135.8983527588783,11.9375080843972,116.26,7.082
"  3391 Sinon (1977 DD3)",5.300570627590854,.08319514691052148,14.87255103230042,341.1468796031238,12.203717359536,,8.135
"  3451 Mentor (1984 HA1)",5.124131962881523,.07179397972436116,24.66022508813418,179.6900117245168,11.5994837496822,,7.730
"  3540 Protesilaos (1973 UF5)",5.266738010286567,.1180937204071283,23.30780612380828,26.44624473810224,12.0870627054337,,8.945
"  3548 Eurybates (1973 SO)",5.182913708898954,.09029716087877894,8.069083676389562,43.56710277747904,11.7996511999211,72.14,8.711
"  3564 Talthybius (1985 TC1)",5.214555338428501,.04124434502888624,15.49627984687714,23.80810463884937,11.9078710568287,68.92,40.59
"  3596 Meriones (1985 VO)",5.161993163911758,.07425371454241445,23.5393343951358,356.7134746476403,11.7282803816432,,12.96
"  3708 (1974 FV1)",5.213991213143873,.159362560631306,13.37368158949477,291.1699664993539,11.9059387685425,79.59,6.553
"  3709 Polypoites (1985 TL3)",5.24637041966962,.06071539676608633,19.6189414440477,187.1471640637096,12.0170156917717,99.09,5.71
"  3793 Leonteus (1985 TE3)",5.207914863077706,.09057265534864684,20.91694613439491,200.5481963995803,11.8851321827774,86.26,11.22
"  3794 Sthenelos (1985 TF3)",5.204186602385909,.1458573027354582,6.063013981792178,343.2771189787725,11.8723719108655,,12.877
"  3801 Thrasymedes (1985 VS)",5.323692549530533,.02272489514388483,28.50239688592155,209.4802098899977,12.2836561768338,,9.60
"  4007 Euryalos (1973 SR)",5.169420736924193,.05701229962009732,11.00865014571324,6.791169965405824,11.7536031547721,,6.391
"  4035 (1986 WD)",5.283784242375583,.05661096992120299,12.13273897150515,233.7386795402668,12.1457913249459,68.46,13.467
"  4057 Demophon (1985 TQ)",5.260910202019707,.1189986286756123,2.874015592666182,24.44237029975716,12.067006194008,,29.31
"  4060 Deipylos (1987 YT1)",5.244685630629443,.1549078249350461,16.15124937470046,168.2617352060506,12.0112275441968,79.21,
"  4063 Euforbo (1989 CG2)",5.178192497460175,.1192383731030085,18.93924164501142,113.5199908693261,11.7835320931082,102.46,8.846
"  4068 Menestheus (1973 SW)",5.155384581353133,.07459864414069267,17.55417733403521,177.7000077519079,11.7057650970072,62.37,14.341
